Gene A	Gene B	Interaction Methods
AARS	HSP90AB1	anti bait coimmunoprecipitation
AARS	SIRT7	affinity chromatography technology
AARS	UBC	affinity chromatography technology
AARS	YWHAZ	pull down
AASDHPPT	BABAM1	anti tag coimmunoprecipitation
AASDHPPT	EIF1B	anti bait coimmunoprecipitation
AASDHPPT	HLA-B	anti bait coimmunoprecipitation
AASDHPPT	MDFI	two hybrid
AASDHPPT	TRAF2	two hybrid pooling approach|two hybrid
AASDHPPT	UBC	affinity chromatography technology
AASDHPPT	USP22	anti tag coimmunoprecipitation
AASS	ICT1	affinity chromatography technology
AASS	MYC	tandem affinity purification
AASS	TERF2	affinity chromatography technology
AASS	UBC	affinity chromatography technology
AATF	ATM	protein kinase assay
AATF	ATR	protein kinase assay
AATF	CAND1	affinity chromatography technology
AATF	CHEK1	protein kinase assay
AATF	CHEK2	protein kinase assay
AATF	CPD	two hybrid
AATF	DAPK3	in vitro
AATF	DAZAP2	two hybrid pooling approach
AATF	EFNB3	two hybrid
AATF	LDOC1	two hybrid
AATF	LZTR1	two hybrid
AATF	MAGED1	two hybrid
AATF	MAPT	anti tag coimmunoprecipitation
AATF	MDM2	affinity chromatography technology
AATF	MPHOSPH6	two hybrid
AATF	MPP6	two hybrid
AATF	NEDD4L	two hybrid
AATF	PAWR	in vivo
AATF	PCBD2	two hybrid
AATF	PIN1	affinity chromatography technology
AATF	POLR2J	two hybrid
AATF	RB1	two hybrid
AATF	RBBP8	two hybrid
AATF	RBL1	two hybrid
AATF	RBL2	two hybrid
AATF	RELA	protein kinase assay
AATF	SIRT7	affinity chromatography technology
AATF	SMAD3	two hybrid
AATF	SP1	affinity chromatography technology
AATF	SS18L1	two hybrid
AATF	SUMO2	affinity chromatography technology
AATF	TSG101	in vitro
AATF	UBC	affinity chromatography technology
AATF	ZNF468	two hybrid
AATK	CDK5	pull down
AATK	CDK5R1	pull down
AATK	PPP1CA	two hybrid
AATK	STK39	two hybrid
ABAT	ABAT	in vitro
ABAT	ALDH5A1	in vitro
ABAT	CRK	pull down
ABCA10	COPS5	affinity chromatography technology
ABCA10	CUL4A	affinity chromatography technology
ABCA13	APOA1	pull down
ABCA13	APOA2	pull down
ABCA13	CUL3	affinity chromatography technology
ABCA1	ABCA1	anti tag coimmunoprecipitation
ABCA1	AOX1	two hybrid
ABCA1	APOA1	in vivo
ABCA1	ARHGEF11	peptide array
ABCA1	ARHGEF12	peptide array
ABCA1	CDC42	affinity chromatography technology
ABCA1	COPS2	affinity chromatography technology
ABCA1	COPS5	affinity chromatography technology
ABCA1	CSNK2A1	in vitro
ABCA1	CSNK2A2	in vitro
ABCA1	DLG2	in vitro
ABCA1	DLG3	peptide array
ABCA1	DLG5	in vitro
ABCA1	FADD	in vitro
ABCA1	FLOT1	affinity chromatography technology
ABCA1	GOPC	in vitro
ABCA1	HGS	affinity chromatography technology
ABCA1	IKBKG	two hybrid
ABCA1	LIMK1	in vitro
ABCA1	LIN7A	in vitro
ABCA1	LIN7B	peptide array
ABCA1	LIN7C	in vitro
ABCA1	LMO7	in vitro
ABCA1	LNX1	two hybrid
ABCA1	MPDZ	peptide array
ABCA1	MPP6	in vitro
ABCA1	PDLIM3	in vitro
ABCA1	PDLIM4	in vitro
ABCA1	PDZK1	in vitro
ABCA1	PLTP	in vitro
ABCA1	PRKACA	in vivo
ABCA1	PRPF8	two hybrid
ABCA1	RAB3GAP2	two hybrid
ABCA1	RAPGEF6	in vitro
ABCA1	RIMS2	in vitro
ABCA1	SDHB	two hybrid
ABCA1	SHANK1	in vitro
ABCA1	SLC25A34	two hybrid
ABCA1	SNTA1	peptide array
ABCA1	SNTB1	peptide array
ABCA1	SNTB2	two hybrid
ABCA1	SPTLC1	in vivo
ABCA1	STX12	affinity chromatography technology
ABCA1	TGM2	two hybrid
ABCA1	TIAM1	in vitro
ABCA1	TRIM27	two hybrid
ABCA1	UBC	affinity chromatography technology
ABCA1	UGP2	two hybrid
ABCA1	XPC	pull down
ABCA2	CACNA1A	two hybrid
ABCA2	CDK5RAP2	two hybrid
ABCA2	PHYH	two hybrid
ABCA2	UBC	affinity chromatography technology
ABCA3	UBC	affinity chromatography technology
ABCA4	CNGB1	in vivo
ABCA5	CYP2E1	two hybrid
ABCA5	NR4A1	two hybrid
ABCA7	UBC	affinity chromatography technology
ABCA9	DEDD	display technology
ABCB10	ELAVL1	pull down
ABCB10	UBC	affinity chromatography technology
ABCB11	HAX1	in vivo
ABCB11	LY6D	two hybrid
ABCB11	NR4A1	two hybrid
ABCB11	UBC	affinity chromatography technology
ABCB1	BCCIP	two hybrid
ABCB1	CAV1	colocalization by fluorescent probes cloning
ABCB1	CD4	two hybrid
ABCB1	DHX9	affinity chromatography technology
ABCB1	HAX1	in vivo
ABCB1	LAPTM4B	confocal microscopy
ABCB1	LNX1	two hybrid
ABCB1	MAPKAP1	two hybrid
ABCB1	PHB2	anti bait coimmunoprecipitation
ABCB1	PIM1	affinity chromatography technology
ABCB1	PSMB8	two hybrid
ABCB1	RNF2	two hybrid
ABCB1	UBC	affinity chromatography technology
ABCB4	HAX1	in vivo
ABCB4	PIGY	two hybrid
ABCB4	TESK1	two hybrid
ABCB5	PSMB5	two hybrid
ABCB5	PSMB9	two hybrid
ABCB6	PIK3R3	two hybrid
ABCB6	TOLLIP	anti tag coimmunoprecipitation
ABCB6	TSG101	two hybrid
ABCB6	UBC	affinity chromatography technology
ABCB7	FECH	in vivo
ABCB7	ICT1	anti tag coimmunoprecipitation
ABCB7	PCK1	affinity chromatography technology
ABCB7	UBC	enzymatic study
ABCB8	ABCB8	in vivo
ABCB8	NOA1	two hybrid pooling approach
ABCB8	SAT1	in vitro
ABCB8	UBC	affinity chromatography technology
ABCB9	UBC	affinity chromatography technology
ABCC10	UBC	affinity chromatography technology
ABCC12	VCPIP1	affinity chromatography technology
ABCC1	AZGP1	two hybrid
ABCC1	NPM1	two hybrid
ABCC1	TMEM173	anti tag coimmunoprecipitation
ABCC1	TRAF3	two hybrid
ABCC1	UBC	affinity chromatography technology
ABCC1	UNC93B1	affinity chromatography technology
ABCC2	AZIN1	two hybrid
ABCC2	CANX	in vivo
ABCC2	MCPH1	two hybrid
ABCC2	NFKB1	two hybrid
ABCC2	PDZD3	pull down
ABCC2	PDZK1	two hybrid
ABCC2	RDX	in vitro
ABCC2	SHANK3	two hybrid
ABCC2	SLC9A3R1	in vitro
ABCC2	UBC	affinity chromatography technology
ABCC2	UBQLN1	two hybrid
ABCC3	MLH1	two hybrid
ABCC3	UBC	enzymatic study
ABCC4	HAX1	affinity chromatography technology
ABCC4	UBC	enzymatic study
ABCC5	AK2	two hybrid
ABCC5	RBP5	two hybrid
ABCC5	SERPINA3	two hybrid
ABCC5	SMC2	two hybrid
ABCC5	UBC	affinity chromatography technology
ABCC6	AK2	two hybrid
ABCC6	CRYL1	two hybrid
ABCC6	FURIN	two hybrid
ABCC6	NR4A1	two hybrid
ABCC8	CRYBB1	in vivo
ABCC8	ENSA	in vivo
ABCC8	KCNJ11	in vivo
ABCC8	KCNJ8	in vitro
ABCC8	RAPGEF4	affinity chromatography technology
ABCC9	EEF1G	two hybrid
ABCC9	KCNJ11	in vitro
ABCC9	KCNJ8	in vitro
ABCC9	LDHA	in vivo
ABCC9	STX1A	in vitro
ABCD1	ABCD2	two hybrid
ABCD1	ABCD3	two hybrid
ABCD1	PEX19	in vivo
ABCD1	POT1	affinity chromatography technology
ABCD1	RPSA	two hybrid
ABCD1	TERF2	affinity chromatography technology
ABCD1	UBC	enzymatic study
ABCD2	ABCD2	two hybrid
ABCD2	ABCD3	two hybrid
ABCD2	PEX19	two hybrid
ABCD3	BRF2	affinity chromatography technology
ABCD3	C20orf24	affinity chromatography technology
ABCD3	CLN3	anti tag coimmunoprecipitation
ABCD3	COL6A2	in vivo
ABCD3	CUL3	affinity chromatography technology
ABCD3	MEST	affinity chromatography technology
ABCD3	MLF2	affinity chromatography technology
ABCD3	PELO	anti bait coimmunoprecipitation
ABCD3	PEX19	pull down
ABCD3	PGRMC1	affinity chromatography technology
ABCD3	PHYH	anti bait coimmunoprecipitation
ABCD3	PSMA1	two hybrid
ABCD3	PTP4A3	affinity chromatography technology
ABCD3	TUFT1	two hybrid
ABCD3	UBC	affinity chromatography technology
ABCD3	USP32	affinity chromatography technology
ABCD3	USP50	affinity chromatography technology
ABCD4	DLEU1	in vitro
ABCD4	PEA15	in vitro
ABCD4	TMEM66	in vitro
ABCD4	UBC	affinity chromatography technology
ABCD4	XRCC6	two hybrid
ABCE1	ATP2A1	affinity chromatography technology
ABCE1	CUL3	affinity chromatography technology
ABCE1	EIF3F	affinity chromatography technology
ABCE1	EIF3H	affinity chromatography technology
ABCE1	RNASE2	in vivo
ABCE1	RNASEL	in vitro
ABCE1	SIRT7	affinity chromatography technology
ABCE1	UBC	enzymatic study
ABCE1	USP50	affinity chromatography technology
ABCF1	COPS5	affinity chromatography technology
ABCF1	CUL2	affinity chromatography technology
ABCF1	EIF6	in vitro
ABCF1	HDGF	affinity chromatography technology
ABCF1	ITGB3BP	two hybrid pooling approach
ABCF1	LYAR	anti bait coimmunoprecipitation
ABCF1	PINX1	anti bait coimmunoprecipitation
ABCF1	PRKAB1	anti bait coimmunoprecipitation
ABCF1	SIRT7	affinity chromatography technology
ABCF1	SUMO2	affinity chromatography technology
ABCF1	UBC	affinity chromatography technology
ABCF2	ANKRD28	anti bait coimmunoprecipitation
ABCF2	HADHA	two hybrid
ABCF2	ISG15	affinity chromatography technology
ABCF2	SNW1	affinity chromatography technology
ABCF2	UBC	affinity chromatography technology
ABCF3	ACIN1	two hybrid
ABCF3	DLEU1	two hybrid
ABCF3	DNALI1	two hybrid pooling approach
ABCF3	HIRIP3	two hybrid pooling approach
ABCF3	LAMTOR1	two hybrid
ABCF3	MOCS2	in vitro|two hybrid pooling approach
ABCF3	NOA1	two hybrid
ABCF3	SLC35E1	in vitro
ABCF3	SPP1	in vitro
ABCF3	SRRM2	affinity chromatography technology
ABCF3	SUMO2	affinity chromatography technology
ABCF3	TBPL1	two hybrid pooling approach|two hybrid
ABCF3	TOE1	two hybrid
ABCF3	UBC	affinity chromatography technology
ABCG1	ABCG4	anti tag coimmunoprecipitation
ABCG1	ABCG5	anti tag coimmunoprecipitation
ABCG1	ELAVL1	pull down
ABCG1	UBC	affinity chromatography technology
ABCG2	HDAC1	affinity chromatography technology
ABCG2	PIM1	two hybrid
ABCG2	UBC	anti bait coimmunoprecipitation
ABCG5	ABCG8	affinity chromatography technology
ABCG5	NCK1	peptide array
ABCG5	PIK3R1	peptide array
ABCG8	AGPAT2	two hybrid
ABCG8	AKT2	two hybrid
ABCG8	ANG	two hybrid
ABCG8	LMNB1	two hybrid
ABCG8	MAL2	two hybrid
ABCG8	NR4A1	two hybrid
ABCG8	NUPR1	two hybrid
ABHD10	ELAVL1	pull down
ABHD10	H2AFX	anti tag coimmunoprecipitation
ABHD10	SQSTM1	anti tag coimmunoprecipitation
ABHD10	UBC	affinity chromatography technology
ABHD11	UBC	affinity chromatography technology
ABHD12	UBC	affinity chromatography technology
ABHD14B	UBC	affinity chromatography technology
ABHD16A	ATP5G3	two hybrid
ABHD16A	DNAJC1	two hybrid
ABHD16A	GPRC5C	two hybrid
ABHD16A	HM13	two hybrid
ABHD16A	HNRNPA1	two hybrid
ABHD16A	IFITM1	two hybrid
ABHD16A	MLH1	two hybrid
ABHD16A	MT-ND3	two hybrid
ABHD16A	MT-ND4	two hybrid
ABHD16A	MT-ND4L	two hybrid
ABHD16A	PILRB	two hybrid
ABHD16A	PTGS2	two hybrid
ABHD16A	RBM15	two hybrid
ABHD16A	RICTOR	affinity chromatography technology
ABHD16A	RNF5	two hybrid
ABHD16A	SAFB	two hybrid
ABHD16A	SPAG7	two hybrid
ABHD16A	TMEM147	two hybrid
ABHD16A	TMEM222	two hybrid
ABHD16A	UBC	affinity chromatography technology
ABHD16A	UPF1	two hybrid
ABHD17A	UBC	affinity chromatography technology
ABHD17B	UBC	affinity chromatography technology
ABHD17C	UBC	affinity chromatography technology
ABHD3	UBC	affinity chromatography technology
ABHD4	CSNK2B	two hybrid
ABHD4	TK1	two hybrid
ABHD4	UBC	affinity chromatography technology
ABHD5	PLIN1	in vitro
ABHD5	PLIN2	in vitro
ABHD5	UBC	affinity chromatography technology
ABHD6	CKMT2	two hybrid
ABHD6	PCGF2	two hybrid
ABHD6	UBC	affinity chromatography technology
ABI1	ABL1	far western blotting
ABI1	ABL2	array technology
ABI1	APBB1	affinity chromatography technology
ABI1	BAIAP2	pull down
ABI1	CACNA1A	two hybrid
ABI1	CBL	anti bait coimmunoprecipitation
ABI1	CBLB	array technology
ABI1	CBLC	array technology
ABI1	CDK6	protein kinase assay
ABI1	CRK	array technology
ABI1	CRKL	array technology
ABI1	CYFIP2	in vitro
ABI1	DST	anti bait coimmunoprecipitation
ABI1	ENAH	in vitro
ABI1	EPS8	in vivo
ABI1	EPS8L1	in vivo
ABI1	EPS8L2	affinity chromatography technology
ABI1	EPS8L3	affinity chromatography technology
ABI1	EVL	in vivo
ABI1	FER	array technology
ABI1	FES	array technology
ABI1	FGR	array technology
ABI1	FRK	array technology
ABI1	FYN	array technology
ABI1	GAS7	pull down
ABI1	GCDH	two hybrid
ABI1	GRB10	array technology
ABI1	GRB2	array technology
ABI1	HCK	array technology
ABI1	HNRNPK	anti bait coimmunoprecipitation
ABI1	HSPA8	in vitro
ABI1	INPPL1	array technology
ABI1	ITK	array technology
ABI1	KIAA0408	anti bait coimmunoprecipitation
ABI1	KTN1	anti bait coimmunoprecipitation
ABI1	LCK	array technology
ABI1	LYN	array technology
ABI1	MINK1	two hybrid
ABI1	MRFAP1	anti bait coimmunoprecipitation
ABI1	MRFAP1L1	anti bait coimmunoprecipitation
ABI1	NCF1	two hybrid
ABI1	NCK1	two hybrid
ABI1	NCK2	in vivo
ABI1	NCKAP1	coimmunoprecipitation
ABI1	NEB	in vitro
ABI1	NIN	in vitro
ABI1	PAK2	in vivo
ABI1	PHYH	two hybrid
ABI1	PIK3R1	array technology
ABI1	PIK3R2	array technology
ABI1	PIK3R3	array technology
ABI1	PLCG1	array technology
ABI1	PRKAA1	two hybrid pooling approach
ABI1	PRPF40A	affinity chromatography technology
ABI1	RASA1	array technology
ABI1	RYK	affinity chromatography technology
ABI1	SOCS7	array technology
ABI1	SORBS1	anti bait coimmunoprecipitation
ABI1	SOS1	pull down
ABI1	SOS2	in vivo
ABI1	SPTA1	filter binding
ABI1	SPTAN1	in vitro
ABI1	SRC	array technology
ABI1	SRP68	anti bait coimmunoprecipitation
ABI1	SRRM1	two hybrid
ABI1	SYNE2	anti bait coimmunoprecipitation
ABI1	TCERG1	affinity chromatography technology
ABI1	TLN1	anti bait coimmunoprecipitation
ABI1	UBC	affinity chromatography technology
ABI1	VASP	in vivo
ABI1	VAV1	array technology
ABI1	VAV2	array technology
ABI1	WASF1	in vitro
ABI1	WASF2	in vitro
ABI1	YES1	array technology
ABI2	ABL1	pull down
ABI2	ADAM19	two hybrid
ABI2	ADAM22	two hybrid
ABI2	ADAM29	two hybrid
ABI2	CCDC53	two hybrid
ABI2	ENAH	in vivo
ABI2	GCDH	affinity chromatography technology
ABI2	IFT20	two hybrid
ABI2	KHDRBS1	unspecified method
ABI2	KRT15	two hybrid pooling approach
ABI2	KRT19	two hybrid
ABI2	KRT20	two hybrid pooling approach
ABI2	NCK2	two hybrid pooling approach
ABI2	PCM1	two hybrid pooling approach
ABI2	RAC1	molecular sieving
ABI2	SH3KBP1	pull down
ABI2	SNAP23	two hybrid pooling approach
ABI2	TRAF3IP1	two hybrid
ABI2	TRIM32	affinity chromatography technology
ABI2	UBC	affinity chromatography technology
ABI2	VCL	two hybrid
ABI2	VPS37C	in vivo
ABI2	WASF1	molecular sieving
ABI2	WASF2	in vivo
ABI3	ABI3BP	two hybrid
ABI3	CEP170P1	two hybrid pooling approach
ABI3	CEP44	two hybrid
ABI3	CYFIP2	in vivo
ABI3	DTNBP1	two hybrid pooling approach
ABI3	EIF3H	two hybrid array
ABI3	ENAH	in vivo
ABI3	HOMER1	two hybrid pooling approach
ABI3	HOMER3	two hybrid array
ABI3	KIAA0408	two hybrid
ABI3	KRT15	two hybrid
ABI3	PAK1	in vivo
ABI3	PAK2	in vivo
ABI3	RUNX1T1	two hybrid pooling approach|two hybrid
ABI3	SNAP23	two hybrid
ABI3	SOS1	in vivo
ABI3	TMEM147	two hybrid pooling approach
ABI3	WASF2	in vivo
ABI3BP	CBX1	two hybrid
ABI3BP	FZD5	two hybrid
ABI3BP	GOT1	two hybrid
ABI3BP	GRB2	pull down
ABI3BP	MBNL1	two hybrid
ABI3BP	MYC	affinity chromatography technology
ABL1	ABL1	phage display
ABL1	ABL2	in vivo
ABL1	ABR	pull down
ABL1	ACAP1	peptide array
ABL1	ACTA1	in vivo
ABL1	ADAM15	in vitro
ABL1	AHSG	pull down
ABL1	AIRE	peptide array
ABL1	AKAP6	pull down
ABL1	APBB1	in vivo
ABL1	APOL5	peptide array
ABL1	APP	in vivo
ABL1	ARHGAP17	in vitro
ABL1	ARHGEF11	peptide array
ABL1	ASAP1	peptide array
ABL1	ASB16	peptide array
ABL1	ATM	coimmunoprecipitation
ABL1	BAZ2A	peptide array
ABL1	BCAR1	in vitro
ABL1	BCL2L1	anti bait coimmunoprecipitation
ABL1	BCR	in vitro
ABL1	BIN1	in vivo
ABL1	BMP8B	peptide array
ABL1	BRCA1	in vivo
ABL1	BRCA2	peptide array
ABL1	BRPF3	peptide array
ABL1	BTK	in vivo
ABL1	C3	in vivo
ABL1	C6	peptide array
ABL1	CABLES1	in vivo
ABL1	CABLES2	in vivo
ABL1	CASP9	in vitro
ABL1	CAST	peptide array
ABL1	CAV1	in vivo
ABL1	CBL	far western blotting
ABL1	CCKBR	pull down
ABL1	CD19	in vivo
ABL1	CD2AP	pull down
ABL1	CDC27	peptide array
ABL1	CDK1	in vivo
ABL1	CDK5	in vivo
ABL1	CDKL5	peptide array
ABL1	CDKN1B	in vivo
ABL1	CDON	anti bait coimmunoprecipitation
ABL1	CELSR3	peptide array
ABL1	CENPA	peptide array
ABL1	CHRD	peptide array
ABL1	CKAP5	peptide array
ABL1	CNTFR	pull down
ABL1	CNTNAP1	peptide array
ABL1	CREB1	in vivo
ABL1	CRK	nuclear magnetic resonance
ABL1	CRKL	in vivo
ABL1	CSMD2	peptide array
ABL1	CTAGE5	peptide array
ABL1	CTNNB1	anti bait coimmunoprecipitation
ABL1	CTNND2	in vitro
ABL1	CUL7	pull down
ABL1	CYP4F2	peptide array
ABL1	DAAM1	pull down
ABL1	DDB1	in vivo
ABL1	DDB2	in vivo
ABL1	DDX41	peptide array
ABL1	DKKL1	peptide array
ABL1	DLGAP1	peptide array
ABL1	DLGAP2	pull down
ABL1	DLGAP3	peptide array
ABL1	DLGAP4	pull down
ABL1	DLX4	peptide array
ABL1	DNASE1L2	peptide array
ABL1	DNM1	peptide array
ABL1	DNM2	peptide array
ABL1	DNM3	peptide array
ABL1	DOCK3	pull down
ABL1	DOK1	in vivo
ABL1	DOK2	in vivo
ABL1	DOK3	in vivo
ABL1	DUSP15	peptide array
ABL1	EFNA5	pull down
ABL1	EFS	peptide array
ABL1	EGFR	protein array
ABL1	ENAH	in vivo
ABL1	EP300	imaging technique
ABL1	EPB41L3	peptide array
ABL1	EPHB2	in vivo
ABL1	EPS15	peptide array
ABL1	ERBB2	protein array
ABL1	ERBB3	protein array
ABL1	ERBB4	protein array
ABL1	EVL	in vitro
ABL1	F2RL2	peptide array
ABL1	FAM110A	peptide array
ABL1	FAM127A	peptide array
ABL1	FLNA	peptide array
ABL1	FLNC	pull down
ABL1	FOXF2	pull down
ABL1	FYB	peptide array
ABL1	FYN	peptide array
ABL1	G3BP2	peptide array
ABL1	GABBR1	pull down
ABL1	GAD1	peptide array
ABL1	GNS	pull down
ABL1	GPR45	peptide array
ABL1	GPX1	in vitro
ABL1	GRB2	peptide array
ABL1	GRIN2D	in vitro
ABL1	GRIP2	peptide array
ABL1	GSTZ1	peptide array
ABL1	GSX2	pull down
ABL1	GTF2IRD1	peptide array
ABL1	GTF3A	peptide array
ABL1	HCK	pull down
ABL1	HCN2	peptide array
ABL1	HCN4	peptide array
ABL1	HEXA	peptide array
ABL1	HNRNPR	pull down
ABL1	HOXC8	peptide array
ABL1	INPPL1	in vivo
ABL1	ITGB2	anti bait coimmunoprecipitation
ABL1	JAK1	in vivo
ABL1	JAK2	in vivo
ABL1	JUN	in vivo
ABL1	KIFC2	peptide array
ABL1	KIT	in vivo
ABL1	KMT2B	peptide array
ABL1	LIG3	pull down
ABL1	LRBA	peptide array
ABL1	LRP2	peptide array
ABL1	LTBP2	peptide array
ABL1	MAP4K1	pull down
ABL1	MAP4K5	in vivo
ABL1	MAPT	in vivo
ABL1	MAVS	anti tag coimmunoprecipitation
ABL1	MDM2	in vitro
ABL1	MED14	peptide array
ABL1	MED25	classical fluorescence spectroscopy
ABL1	MEPE	pull down
ABL1	MKI67	peptide array
ABL1	MSH5	two hybrid
ABL1	MUC1	coimmunoprecipitation
ABL1	NBEA	pull down
ABL1	NCK1	peptide array
ABL1	NCKAP5	pull down
ABL1	NCKIPSD	pull down
ABL1	NCSTN	in vivo
ABL1	NEDD9	in vivo
ABL1	NEK8	peptide array
ABL1	NELFB	peptide array
ABL1	NFASC	peptide array
ABL1	NFS1	peptide array
ABL1	NKX2-1	pull down
ABL1	NOTCH3	peptide array
ABL1	NPVF	peptide array
ABL1	NTRK1	in vivo
ABL1	NXPH3	peptide array
ABL1	OGN	pull down
ABL1	ORC1	peptide array
ABL1	OSBPL5	peptide array
ABL1	P2RX7	peptide array
ABL1	PAG1	in vivo
ABL1	PAK2	in vivo
ABL1	PAX3	peptide array
ABL1	PCDHA7	pull down
ABL1	PDIA2	pull down
ABL1	PIK3R1	peptide array
ABL1	PKD1	pull down
ABL1	PLCG1	peptide array
ABL1	PLSCR1	in vivo
ABL1	POLD1	pull down
ABL1	POLR2A	in vitro
ABL1	PPP3CA	pull down
ABL1	PRDX1	bimolecular fluorescence complementation
ABL1	PRICKLE3	peptide array
ABL1	PRKCD	anti bait coimmunoprecipitation
ABL1	PRKD1	in vitro
ABL1	PRKDC	in vitro
ABL1	PRX	peptide array
ABL1	PSTPIP1	in vivo
ABL1	PTPN1	phosphatase assay
ABL1	PTPN12	in vivo
ABL1	PTPN18	in vivo
ABL1	PTPN4	peptide array
ABL1	PTPN6	in vivo
ABL1	PXN	in vivo
ABL1	RAD51	pull down
ABL1	RAD52	in vivo
ABL1	RAD9A	in vivo
ABL1	RAN	in vivo
ABL1	RAPGEF1	nuclear magnetic resonance
ABL1	RASA1	in vivo
ABL1	RB1	in vivo
ABL1	RFX1	in vivo
ABL1	RGS20	peptide array
ABL1	RIMS1	pull down
ABL1	RIN1	two hybrid
ABL1	RIN3	peptide array
ABL1	ROBO1	in vitro
ABL1	ROS1	in vivo
ABL1	RPP38	pull down
ABL1	RTN4	peptide array
ABL1	SCARF2	peptide array
ABL1	SEMA7A	peptide array
ABL1	SEPN1	peptide array
ABL1	SF3B4	peptide array
ABL1	SFN	anti tag coimmunoprecipitation
ABL1	SH3BP1	bimolecular fluorescence complementation
ABL1	SH3BP2	in vitro
ABL1	SHANK3	pull down
ABL1	SHB	anti bait coimmunoprecipitation
ABL1	SHD	two hybrid
ABL1	SHE	two hybrid
ABL1	SLC22A3	pull down
ABL1	SLC24A1	peptide array
ABL1	SLC9A2	in vitro
ABL1	SNX12	peptide array
ABL1	SNX17	peptide array
ABL1	SNX3	peptide array
ABL1	SNX8	peptide array
ABL1	SORBS1	anti bait coimmunoprecipitation
ABL1	SORBS2	in vivo
ABL1	SORBS3	pull down
ABL1	SOS2	in vivo
ABL1	SP1	peptide array
ABL1	SPRR2A	protein array
ABL1	SRC	peptide array
ABL1	ST5	pull down
ABL1	SUV39H2	peptide array
ABL1	SYNJ2	pull down
ABL1	TERF1	anti bait coimmunoprecipitation
ABL1	TERT	in vivo
